,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,9,"[176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 6, 5, 4, 6, 3, 6]","[4, 3, 1, 5, 2, 4, 2, 4, 5]",84.3036,0.8328,0.9057,0.8106,0:03:47,3047411,152708290
0,4,"[80, 80, 80, 80]","[6, 6, 5, 4]","[3, 5, 4, 5]",73.7463,0.7374,0.8125,0.7056,0:01:51,352404,17125752
0,8,"[96, 96, 96, 96, 96, 96, 96, 96]","[6, 6, 6, 3, 5, 6, 4, 3]","[3, 2, 3, 5, 2, 4, 1, 1]",81.7392,0.7807,0.8748,0.7535,0:02:55,725869,37070782
0,5,"[160, 160, 160, 160, 160]","[4, 4, 3, 3, 6]","[3, 1, 2, 6, 1]",80.7466,0.8075,0.8645,0.7811,0:02:19,1241918,61309108
0,9,"[144, 144, 144, 144, 144, 144, 144, 144, 144]","[3, 3, 4, 4, 6, 5, 5, 4, 3]","[5, 4, 6, 6, 1, 4, 5, 3, 3]",82.6905,0.8211,0.8989,0.7975,0:03:28,2346328,117710096
0,6,"[96, 96, 96, 96, 96, 96]","[6, 4, 5, 6, 4, 4]","[5, 3, 1, 1, 3, 5]",78.4407,0.7795,0.8674,0.7520,0:02:24,594829,29826622
0,5,"[160, 160, 160, 160, 160]","[6, 4, 3, 6, 5]","[6, 4, 6, 3, 3]",79.5471,0.7882,0.8785,0.7610,0:02:23,1702229,83779822
0,10,"[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[6, 5, 3, 6, 5, 3, 6, 4, 5, 4]","[4, 2, 6, 6, 3, 6, 3, 4, 3, 3]",82.7836,0.8241,0.8934,0.7998,0:04:47,7031536,350185920
0,5,"[192, 192, 192, 192, 192]","[6, 6, 6, 6, 4]","[3, 4, 2, 1, 6]",79.8573,0.7955,0.8789,0.7689,0:02:32,1999312,98517888
0,7,"[32, 32, 32, 32, 32, 32, 32]","[3, 3, 6, 5, 6, 4, 6]","[5, 3, 4, 2, 3, 5, 6]",53.7793,0.4926,0.5870,0.4278,0:02:33,99148,5153960
0,8,"[160, 160, 160, 160, 160, 160, 160, 160]","[3, 4, 5, 3, 4, 3, 3, 6]","[1, 4, 1, 3, 2, 6, 3, 2]",83.3420,0.8071,0.8930,0.7828,0:03:14,2014392,101173744
0,4,"[32, 32, 32, 32]","[4, 3, 6, 4]","[2, 1, 5, 5]",42.7877,0.4279,0.5102,0.3555,0:01:49,55844,2674168
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[6, 6, 3, 6, 4, 6, 3, 5]","[5, 4, 1, 5, 2, 2, 2, 4]",52.0939,0.5185,0.6187,0.4611,0:02:46,97030,5185124
0,8,"[128, 128, 128, 128, 128, 128, 128, 128]","[3, 5, 3, 3, 5, 3, 4, 4]","[3, 6, 3, 3, 6, 4, 6, 2]",83.3006,0.8178,0.8958,0.7941,0:03:00,1658982,83160420
0,5,"[144, 144, 144, 144, 144]","[3, 3, 6, 3, 6]","[5, 6, 3, 2, 4]",80.9327,0.8093,0.8765,0.7840,0:02:16,1306528,64405152
0,5,"[144, 144, 144, 144, 144]","[5, 6, 3, 5, 4]","[4, 5, 3, 2, 4]",81.1602,0.8060,0.8880,0.7804,0:02:17,1218664,60076688
0,5,"[80, 80, 80, 80, 80]","[3, 6, 6, 4, 6]","[3, 4, 4, 1, 4]",74.1495,0.7415,0.8171,0.7105,0:02:06,364552,18055184
0,6,"[160, 160, 160, 160, 160, 160]","[5, 6, 4, 3, 4, 5]","[4, 4, 2, 2, 4, 3]",80.7259,0.7806,0.8833,0.7532,0:02:39,1654561,82183990
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[6, 6, 4, 6, 6, 4, 4, 6, 3]","[6, 1, 1, 2, 3, 1, 3, 5, 2]",83.8693,0.8238,0.8932,0.8006,0:03:18,1097217,55897142
0,10,"[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]","[6, 4, 6, 4, 6, 3, 4, 6, 5, 4]","[6, 5, 2, 6, 3, 2, 5, 5, 6, 5]",63.4267,0.6344,0.7337,0.5912,0:03:16,147660,7923048
0,4,"[192, 192, 192, 192]","[4, 3, 6, 5]","[1, 2, 2, 4]",77.2102,0.7517,0.8526,0.7211,0:02:08,1331146,64996988
0,6,"[48, 48, 48, 48, 48, 48]","[5, 6, 6, 6, 5, 6]","[4, 6, 2, 2, 3, 5]",65.9911,0.6589,0.7599,0.6174,0:02:21,176830,8969268
