,mlp_ratio,embed_dim,num_heads,layer_num,id,grad_norm
122,"[3, 6, 3, 3, 6, 4, 6, 2]","[128, 128, 128, 128, 128, 128, 128, 128]","[3, 5, 3, 3, 5, 3, 4, 4]",8,2,10.603556632995605
123,"[5, 6, 3, 2, 4]","[144, 144, 144, 144, 144]","[3, 3, 6, 3, 6]",5,3,6.066930294036865
124,"[4, 5, 3, 2, 4]","[144, 144, 144, 144, 144]","[5, 6, 3, 5, 4]",5,4,6.254918575286865
125,"[3, 4, 4, 1, 4]","[80, 80, 80, 80, 80]","[3, 6, 6, 4, 6]",5,5,3.841792345046997
126,"[4, 4, 2, 2, 4, 3]","[160, 160, 160, 160, 160, 160]","[5, 6, 4, 3, 4, 5]",6,6,9.098063468933105
127,"[6, 1, 1, 2, 3, 1, 3, 5, 2]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[6, 6, 4, 6, 6, 4, 4, 6, 3]",9,7,10.440831184387207
128,"[6, 5, 2, 6, 3, 2, 5, 5, 6, 5]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]","[6, 4, 6, 4, 6, 3, 4, 6, 5, 4]",10,8,4.866568565368652
129,"[1, 2, 2, 4]","[192, 192, 192, 192]","[4, 3, 6, 5]",4,9,8.800908088684082
130,"[4, 6, 2, 2, 3, 5]","[48, 48, 48, 48, 48, 48]","[5, 6, 6, 6, 5, 6]",6,10,3.0563809871673584
131,"[2, 1, 2, 4, 4]","[80, 80, 80, 80, 80]","[4, 5, 3, 3, 6]",5,11,3.8214337825775146
132,"[4, 5, 5, 4]","[96, 96, 96, 96]","[4, 3, 4, 6]",4,12,4.848156452178955
133,"[5, 5, 1, 1, 5, 6, 4]","[80, 80, 80, 80, 80, 80, 80]","[3, 4, 6, 5, 5, 3, 3]",7,13,6.682840347290039
134,"[1, 5, 5, 3, 2, 4, 3, 1]","[48, 48, 48, 48, 48, 48, 48, 48]","[6, 5, 4, 6, 6, 5, 4, 5]",8,14,4.394669055938721
135,"[2, 3, 6, 5]","[112, 112, 112, 112]","[6, 3, 6, 6]",4,15,5.8828511238098145
136,"[6, 1, 1, 4, 5, 6, 2]","[96, 96, 96, 96, 96, 96, 96]","[4, 3, 3, 6, 4, 3, 5]",7,16,7.638336658477783
137,"[1, 3, 3, 3, 5, 6, 2]","[112, 112, 112, 112, 112, 112, 112]","[3, 5, 3, 4, 6, 3, 5]",7,17,9.939477920532227
138,"[3, 1, 5, 5, 4]","[144, 144, 144, 144, 144]","[3, 5, 3, 3, 4]",5,18,6.268605709075928
139,"[5, 2, 3, 1]","[80, 80, 80, 80]","[4, 4, 4, 6]",4,19,3.05676007270813
140,"[6, 6, 4, 3, 2, 3, 6, 3]","[192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 6, 5, 4, 5, 3, 3]",8,0,16.939529418945312
141,"[3, 3, 6, 3, 1, 1, 5, 1, 3, 1]","[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[4, 5, 4, 5, 6, 3, 6, 6, 3, 3]",10,1,18.55689239501953
142,"[3, 2, 3, 2, 6, 4, 6]","[112, 112, 112, 112, 112, 112, 112]","[5, 3, 3, 3, 5, 3, 5]",7,2,9.47254753112793
143,"[6, 3, 1, 6, 2, 6, 5, 2]","[160, 160, 160, 160, 160, 160, 160, 160]","[5, 3, 6, 6, 5, 4, 5, 5]",8,3,14.679182052612305
144,"[4, 6, 1, 4, 3, 2, 5]","[96, 96, 96, 96, 96, 96, 96]","[3, 4, 6, 6, 3, 4, 3]",7,4,7.218170642852783
145,"[2, 2, 4, 1]","[144, 144, 144, 144]","[5, 6, 3, 4]",4,5,5.756706714630127
146,"[3, 4, 4, 4, 6, 1]","[96, 96, 96, 96, 96, 96]","[4, 5, 4, 4, 4, 4]",6,6,6.59147834777832
147,"[2, 2, 5, 3, 5, 1, 2, 2, 6, 4]","[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[4, 4, 4, 4, 4, 5, 3, 6, 4, 3]",10,7,16.03814125061035
148,"[4, 5, 4, 2, 4]","[48, 48, 48, 48, 48]","[6, 3, 4, 3, 3]",5,8,2.221682071685791
149,"[6, 2, 6, 4]","[192, 192, 192, 192]","[6, 5, 6, 5]",4,9,10.19892692565918
150,"[3, 6, 1, 2, 5, 2, 6]","[240, 240, 240, 240, 240, 240, 240]","[4, 3, 3, 3, 6, 4, 6]",7,10,19.14751434326172
151,"[6, 2, 5, 6, 5, 3, 1, 5, 2, 3]","[144, 144, 144, 144, 144, 144, 144, 144, 144, 144]","[5, 5, 5, 5, 4, 3, 6, 4, 6, 5]",10,11,15.45677375793457
152,"[4, 2, 4, 3, 6, 3]","[80, 80, 80, 80, 80, 80]","[5, 6, 6, 6, 5, 4]",6,12,5.370009899139404
153,"[2, 3, 5, 2, 5, 2, 5]","[240, 240, 240, 240, 240, 240, 240]","[6, 5, 5, 6, 5, 6, 3]",7,13,21.409809112548828
154,"[3, 4, 6, 1, 1]","[64, 64, 64, 64, 64]","[4, 3, 5, 3, 4]",5,14,2.6270484924316406
155,"[2, 6, 3, 5, 3, 1, 6, 6]","[112, 112, 112, 112, 112, 112, 112, 112]","[3, 3, 4, 5, 4, 6, 6, 5]",8,15,9.560813903808594
156,"[5, 4, 1, 6]","[112, 112, 112, 112]","[3, 4, 3, 5]",4,16,5.36134672164917
157,"[2, 4, 2, 3, 2, 2, 4, 6, 2]","[96, 96, 96, 96, 96, 96, 96, 96, 96]","[6, 4, 3, 3, 6, 3, 4, 3, 6]",9,17,9.870209693908691
158,"[6, 6, 5, 2, 6, 1]","[176, 176, 176, 176, 176, 176]","[5, 4, 5, 5, 6, 6]",6,18,9.296550750732422
159,"[3, 6, 1, 4, 2, 1]","[64, 64, 64, 64, 64, 64]","[5, 6, 6, 6, 4, 6]",6,19,3.445733070373535
160,"[6, 1, 5, 1, 2, 6, 4, 3, 6]","[176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 5, 5, 3, 5, 3, 3, 3]",9,0,17.997114181518555
161,"[2, 1, 4, 4]","[48, 48, 48, 48]","[6, 3, 5, 4]",4,1,1.9498963356018066
162,"[4, 6, 5, 6, 2, 1, 2, 4, 1]","[160, 160, 160, 160, 160, 160, 160, 160, 160]","[3, 6, 4, 5, 6, 6, 3, 6, 4]",9,2,13.200352668762207
163,"[6, 2, 5, 2, 1]","[128, 128, 128, 128, 128]","[6, 5, 5, 5, 4]",5,3,6.457324504852295
164,"[1, 6, 1, 5, 1, 1, 6, 3, 2]","[48, 48, 48, 48, 48, 48, 48, 48, 48]","[4, 4, 3, 5, 3, 5, 4, 5, 3]",9,4,5.076515197753906
165,"[2, 3, 4, 3, 6, 4]","[128, 128, 128, 128, 128, 128]","[6, 3, 3, 5, 6, 6]",6,5,9.465728759765625
166,"[4, 5, 4, 5, 1, 2, 2, 6]","[192, 192, 192, 192, 192, 192, 192, 192]","[6, 5, 4, 3, 4, 4, 3, 6]",8,6,15.196731567382812
167,"[1, 6, 1, 5, 3, 5, 3, 3]","[112, 112, 112, 112, 112, 112, 112, 112]","[6, 6, 5, 6, 5, 4, 3, 6]",8,7,11.021973609924316
168,"[5, 1, 2, 5, 1, 4]","[32, 32, 32, 32, 32, 32]","[3, 5, 6, 4, 3, 3]",6,8,1.6895027160644531
169,"[3, 1, 3, 2, 3, 3, 4, 4]","[160, 160, 160, 160, 160, 160, 160, 160]","[6, 3, 4, 6, 5, 4, 3, 6]",8,9,13.857048988342285
170,"[2, 4, 6, 3, 6, 5, 4, 2, 1]","[80, 80, 80, 80, 80, 80, 80, 80, 80]","[6, 4, 6, 5, 5, 6, 4, 6, 6]",9,10,8.296265602111816
171,"[4, 3, 2, 2, 3, 2]","[80, 80, 80, 80, 80, 80]","[5, 6, 4, 5, 4, 5]",6,11,4.766443729400635
